Country,RemovedAirports,GCC_nodes_after,S_ratio_after,Drop_in_S_ratio
East Timor,1,3187,0.9996863237139272,0.00031367628607281706
El Salvador,1,3187,0.9996863237139272,0.00031367628607281706
Comoros,1,3187,0.9996863237139272,0.00031367628607281706
Chad,1,3187,0.9996863237139272,0.00031367628607281706
Belarus,1,3187,0.9996863237139272,0.00031367628607281706
Benin,1,3187,0.9996863237139272,0.00031367628607281706
American Samoa,1,3187,0.9996863237139272,0.00031367628607281706
Albania,1,3187,0.9996863237139272,0.00031367628607281706
Antigua and Barbuda,1,3187,0.9996863237139272,0.00031367628607281706
Anguilla,1,3187,0.9996863237139272,0.00031367628607281706
Bahrain,1,3187,0.9996863237139272,0.00031367628607281706
Aruba,1,3187,0.9996863237139272,0.00031367628607281706
Brunei,1,3187,0.9996863237139272,0.00031367628607281706
Burundi,1,3187,0.9996863237139272,0.00031367628607281706
Bermuda,1,3187,0.9996863237139272,0.00031367628607281706
Kuwait,1,3187,0.9996863237139272,0.00031367628607281706
Lebanon,1,3187,0.9996863237139272,0.00031367628607281706
Jersey,1,3187,0.9996863237139272,0.00031367628607281706
Palau,1,3187,0.9996863237139272,0.00031367628607281706
Niue,1,3187,0.9996863237139272,0.00031367628607281706
Nicaragua,1,3187,0.9996863237139272,0.00031367628607281706
New Caledonia,1,3187,0.9996863237139272,0.00031367628607281706
Niger,1,3187,0.9996863237139272,0.00031367628607281706
North Korea,1,3187,0.9996863237139272,0.00031367628607281706
Norfolk Island,1,3187,0.9996863237139272,0.00031367628607281706
Nauru,1,3187,0.9996863237139272,0.00031367628607281706
Moldova,1,3187,0.9996863237139272,0.00031367628607281706
Mayotte,1,3187,0.9996863237139272,0.00031367628607281706
Martinique,1,3187,0.9996863237139272,0.00031367628607281706
Lesotho,1,3187,0.9996863237139272,0.00031367628607281706
Latvia,1,3187,0.9996863237139272,0.00031367628607281706
Macedonia,1,3187,0.9996863237139272,0.00031367628607281706
Mali,1,3187,0.9996863237139272,0.00031367628607281706
Malta,1,3187,0.9996863237139272,0.00031367628607281706
Macau,1,3187,0.9996863237139272,0.00031367628607281706
Luxembourg,1,3187,0.9996863237139272,0.00031367628607281706
Sierra Leone,1,3187,0.9996863237139272,0.00031367628607281706
Qatar,1,3187,0.9996863237139272,0.00031367628607281706
Saint Pierre and Miquelon,1,3187,0.9996863237139272,0.00031367628607281706
Saint Vincent and the Grenadines,1,3187,0.9996863237139272,0.00031367628607281706
Samoa,1,3187,0.9996863237139272,0.00031367628607281706
Sao Tome and Principe,1,3187,0.9996863237139272,0.00031367628607281706
South Sudan,1,3187,0.9996863237139272,0.00031367628607281706
Slovenia,1,3187,0.9996863237139272,0.00031367628607281706
Tuvalu,1,3187,0.9996863237139272,0.00031367628607281706
Turkmenistan,1,3187,0.9996863237139272,0.00031367628607281706
Suriname,1,3187,0.9996863237139272,0.00031367628607281706
Swaziland,1,3187,0.9996863237139272,0.00031367628607281706
Tonga,1,3187,0.9996863237139272,0.00031367628607281706
Togo,1,3187,0.9996863237139272,0.00031367628607281706
