Country,NumAirports,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
Cape Verde,7,14,0.0625,0.004380584025565157,0.46473029045643155,0.03635463411668436
Papua New Guinea,23,8,0.03571428571428571,0.0005699761003739025,0.3714759535655058,0.010248944597374474
Liberia,2,7,0.03125,7.475368854901903e-06,0.4072727272727273,0.015336941017588484
Solomon Islands,16,4,0.017857142857142856,1.5014413837283793e-05,0.3323442136498516,0.0016767371351972722
Qatar,1,62,0.27678571428571425,0.016299056832306875,0.5642317380352645,0.14936686723718154
Guinea,1,8,0.03571428571428571,0.0003025632397400214,0.4036036036036036,0.010972497079888132
Cocos (Keeling) Islands,1,1,0.004464285714285714,0.0,0.2486126526082131,2.6866718680680248e-05
Burundi,1,4,0.017857142857142856,0.0,0.37333333333333335,0.006952844029671491
Panama,7,31,0.13839285714285712,0.0063324615943736,0.48590021691973967,0.04070494300703713
Yemen,9,16,0.07142857142857142,0.0005533641125567152,0.4163568773234201,0.0341565867015934
East Timor,1,3,0.013392857142857142,0.0,0.3607085346215781,0.004248568951559246
Libya,8,12,0.05357142857142857,1.068737163541371e-05,0.43664717348927873,0.038664918890836314
Central African Republic,1,3,0.013392857142857142,0.0,0.4,0.008092194683176582
Maldives,7,15,0.06696428571428571,2.593954902819746e-05,0.4409448818897638,0.04962736901361346
Romania,12,28,0.125,0.00018081848892834398,0.47058823529411764,0.09145410545387066
Georgia,3,19,0.08482142857142856,0.00017587087255313316,0.4507042253521127,0.06040192882858859
Lithuania,3,26,0.11607142857142856,0.00011445272597134023,0.4543610547667343,0.08248696555880113
Uruguay,2,8,0.03571428571428571,3.264397069188174e-05,0.40950639853747717,0.0128156600146745
Zimbabwe,3,10,0.04464285714285714,0.0003747169145906846,0.41025641025641024,0.013366755433814824
Mali,1,15,0.06696428571428571,0.0004982634765119838,0.4226415094339623,0.024010207430365114
Cuba,9,23,0.10267857142857142,0.0023955024973480897,0.4666666666666667,0.04909834111057599
Puerto Rico,6,18,0.08035714285714285,0.0077525551243111295,0.459958932238193,0.023523753301528078
Benin,1,17,0.07589285714285714,0.00045818420100510095,0.4250474383301708,0.024160694695311864
Jamaica,2,16,0.07142857142857142,0.0011693633345214634,0.44621513944223107,0.027737169543841835
Macedonia,1,13,0.05803571428571428,1.8740438201741918e-05,0.4307692307692308,0.04699249913894506
Zambia,7,11,0.049107142857142856,0.0005774477463738919,0.42585551330798477,0.017466054631785067
Tanzania,8,17,0.07589285714285714,0.003046280613255557,0.4392156862745098,0.03517280198109443
Burkina Faso,2,14,0.0625,0.00015568524765298612,0.42829827915869984,0.027390675021103643
Oman,3,25,0.11160714285714285,0.0006011567758993296,0.4628099173553719,0.06753776385677647
Hungary,2,33,0.14732142857142858,0.000251502129323629,0.4765957446808511,0.10442073599870515
Equatorial Guinea,2,7,0.03125,5.329570135586399e-05,0.3922942206654991,0.011923112188652154
Belgium,5,62,0.27678571428571425,0.01820602506793931,0.5476772616136919,0.14575154740309965
Bermuda,1,3,0.013392857142857142,0.0,0.4218455743879473,0.011500267437086953
Northern Mariana Islands,2,4,0.017857142857142856,1.913130151948654e-05,0.3708609271523179,0.008371841070416879
Burma,15,13,0.05803571428571428,5.240476414052129e-05,0.3929824561403509,0.027996565418564084
Guadeloupe,2,10,0.04464285714285714,0.0010096042118536053,0.4426877470355731,0.015757817994580262
Cyprus,3,31,0.13839285714285712,0.0003258938158382257,0.463768115942029,0.09509076742412519
Micronesia,4,3,0.013392857142857142,8.601114212501144e-05,0.29708222811671087,0.0006295957163275217
Iceland,5,14,0.0625,0.0026671115229847954,0.4656964656964657,0.0483954296009481
Djibouti,1,9,0.040178571428571425,0.0011864843490341094,0.4332688588007737,0.02189252913030732
Faroe Islands,1,2,0.008928571428571428,0.0,0.34782608695652173,0.005715362111371411
Latvia,1,32,0.14285714285714285,0.0006608872714087201,0.49015317286652077,0.09660134966268308
